NTD ID,Agency Name,Primary Mode Served,Facility ID,Facility Type,Facility Name,Street Address,City,State,ZIP Code,Latitude,Longitude, Square Feet ,Section of a Larger Facility,Year Built or Reconstructed as New,full_address,County,Category,Definition
1,King County Department of Metro Transit,Streetcar Rail,1849,Simple At-Grade Platform Station,"FHSC: S JACKSON ST BETWEEN 1ST AVE S AND OCCIDENTAL AVE S, C SIDE",S Jackson and Occidental Ave S,Seattle,WA,98104,47.59921,-122.3335,"1,584",0,2014,"S Jackson and Occidental Ave S, Seattle, WA ,98104.0",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Streetcar Rail,1850,Simple At-Grade Platform Station,"FHSC: S JACKSON ST BETWEEN 5TH AVE S AND 6TH AVE S, C SIDE",S Jackson and 6th Ave S,Seattle,WA,98104,47.5992,-122.3271,"3,048",0,2014,"S Jackson and 6th Ave S, Seattle, WA ,98104.0",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Streetcar Rail,1851,Simple At-Grade Platform Station,"FHSC: S JACKSON ST BETWEEN 7TH AVE S AND 8TH AVE S, C SIDE",S Jackson and 8th Ave S,Seattle,WA,98104,47.5992,-122.3233,"1,356",0,2014,"S Jackson and 8th Ave S, Seattle, WA ,98104.0",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Streetcar Rail,1852,Simple At-Grade Platform Station,"FHSC: S JACKSON ST BETWEEN 12TH AVE S AND 14TH AVE S, C SIDE",S Jackson and 14th Ave S,Seattle,WA,98144,47.59921,-122.3157,"1,044",0,2014,"S Jackson and 14th Ave S, Seattle, WA ,98144.0",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Streetcar Rail,1853,Simple At-Grade Platform Station,"FHSC: 14TH AVE S BETWEEN S WASHINGTON ST AND S MAIN ST, C SIDE",14th Ave S and S Main St,Seattle,WA,98144,47.60063,-122.3142,"1,056",0,2014,"14th Ave S and S Main St, Seattle, WA ,98144.0",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Streetcar Rail,1854,Simple At-Grade Platform Station,"FHSC: E YESLER WAY BETWEEN BROADWAY AND 10TH AVE, S SIDE",E Yesler Way and Broadway,Seattle,WA,98122,47.60165,-122.3201,804,0,2014,"E Yesler Way and Broadway, Seattle, WA ,98122.0",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Streetcar Rail,1855,Simple At-Grade Platform Station,"FHSC: E YESLER WAY BETWEEN BROADWAY AND 10TH AVE, N SIDE",E Yesler Way and Broadway,Seattle,WA,98122,47.60176,-122.3202,600,0,2014,"E Yesler Way and Broadway, Seattle, WA ,98122.0",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Streetcar Rail,1856,Simple At-Grade Platform Station,"FHSC: BROADWAY BETWEEN TERRACE ST AND JEFFERSON ST, E SIDE",Broadway and Jefferson St,Seattle,WA,98122,47.60546,-122.3207,690,0,2014,"Broadway and Jefferson St, Seattle, WA ,98122.0",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Streetcar Rail,1857,Simple At-Grade Platform Station,"FHSC: BROADWAY BETWEEN BOYLSTON AVE AND MARION ST, W SIDE",Broadway and Marion St,Seattle,WA,98122,47.60979,-122.3209,540,0,2014,"Broadway and Marion St, Seattle, WA ,98122.0",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Streetcar Rail,1858,Simple At-Grade Platform Station,"FHSC: BROADWAY BETWEEN BOYLSTON AVE AND MARION ST, E SIDE",Broadway and Marion St,Seattle,WA,98122,47.60985,-122.3207,600,0,2014,"Broadway and Marion St, Seattle, WA ,98122.0",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Streetcar Rail,1859,Simple At-Grade Platform Station,"FHSC: BROADWAY BETWEEN E PIKE ST AND E PINE ST, W SIDE",Broadway and E Pine St,Seattle,WA,98122,47.61432,-122.3209,720,0,2014,"Broadway and E Pine St, Seattle, WA ,98122.0",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Streetcar Rail,1860,Simple At-Grade Platform Station,"FHSC: BROADWAY BETWEEN E PIKE ST AND E PINE ST, E SIDE",Broadway and E Pine St,Seattle,WA,98122,47.61506,-122.3208,520,0,2014,"Broadway and E Pine St, Seattle, WA ,98122.0",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Streetcar Rail,1861,Simple At-Grade Platform Station,"FHSC: BROADWAY BETWEEN E HOWELL ST AND E DENNY WAY, W SIDE",Broadway and E Denny Way,Seattle,WA,98122,47.61801,-122.321,875,0,2014,"Broadway and E Denny Way, Seattle, WA ,98122.0",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Streetcar Rail,1862,Simple At-Grade Platform Station,"FHSC: BROADWAY BETWEEN BOREN AVE AND TERRACE ST, W SIDE",Broadway and Boren Ave,Seattle,WA,98122,47.60497,-122.3209,868,0,2014,"Broadway and Boren Ave, Seattle, WA ,98122.0",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Streetcar Rail,1863,Simple At-Grade Platform Station,"SLU: WESTLAKE AVE BETWEEN OLIVE WAY AND STEWART ST, E SIDE",Westlake Ave and Stewart St,Seattle,WA,98101,47.61298,-122.3373,"2,728",0,2007,"Westlake Ave and Stewart St, Seattle, WA ,98101.0",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Streetcar Rail,1864,Simple At-Grade Platform Station,"SLU: WESTLAKE AVE BETWEEN VIRGINIA ST AND 7TH AVE, W SIDE",Westlake Ave and 7th Ave,Seattle,WA,98121,47.61492,-122.3379,"1,100",0,2007,"Westlake Ave and 7th Ave, Seattle, WA ,98121.0",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Streetcar Rail,1865,Simple At-Grade Platform Station,"SLU: WESTLAKE AVE BETWEEN 7TH AVE AND 8TH AVE, E SIDE",Westlake Ave and 8th Ave,Seattle,WA,98121,47.61559,-122.3378,"1,106",0,2007,"Westlake Ave and 8th Ave, Seattle, WA ,98121.0",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Streetcar Rail,1866,Simple At-Grade Platform Station,"SLU: WESTLAKE AVE BETWEEN BLANCHARD ST AND 9TH AVE, W SIDE",Westlake Ave and 9th Ave,Seattle,WA,98121,47.61794,-122.3385,"1,750",0,2007,"Westlake Ave and 9th Ave, Seattle, WA ,98121.0",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Streetcar Rail,1867,Simple At-Grade Platform Station,"SLU: WESTLAKE AVE BETWEEN BLANCHARD ST AND 9TH AVE, E SIDE",Westlake Ave and 9th Ave,Seattle,WA,98121,47.61825,-122.3383,"1,782",0,2007,"Westlake Ave and 9th Ave, Seattle, WA ,98121.0",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Streetcar Rail,1868,Simple At-Grade Platform Station,"SLU: WESTLAKE AVE N BETWEEN THOMAS ST AND HARRISON ST, W SIDE",Westlake Ave N and Harrison St,Seattle,WA,98109,47.62147,-122.3386,"2,124",0,2007,"Westlake Ave N and Harrison St, Seattle, WA ,98109.0",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Streetcar Rail,1869,Simple At-Grade Platform Station,"SLU: TERRY AVE N BETWEEN THOMAS ST AND HARRISON ST, W SIDE",Terry Ave N and Thomas St,Seattle,WA,98109,47.62135,-122.3373,600,0,2007,"Terry Ave N and Thomas St, Seattle, WA ,98109.0",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Streetcar Rail,1870,Simple At-Grade Platform Station,"SLU: WESTLAKE AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST, W SIDE",Westlake Ave N and Mercer St,Seattle,WA,98109,47.62407,-122.3386,"1,032",0,2007,"Westlake Ave N and Mercer St, Seattle, WA ,98109.0",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Streetcar Rail,1871,Simple At-Grade Platform Station,"SLU: TERRY AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST, W SIDE",Terry Ave N and Mercer St,Seattle,WA,98109,47.62342,-122.3371,864,0,2007,"Terry Ave N and Mercer St, Seattle, WA ,98109.0",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Streetcar Rail,1872,Simple At-Grade Platform Station,"SLU: VALLEY ST BETWEEN TERRY AVE N AND LAKE UNION PARK ACCESS RD, N SIDE",Valley St and Lake Union Park Access Rd,Seattle,WA,98109,47.62583,-122.3364,860,0,2007,"Valley St and Lake Union Park Access Rd, Seattle, WA ,98109.0",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Streetcar Rail,1873,Simple At-Grade Platform Station,"SLU: FAIRVIEW AVE N BETWEEN ALOHA ST AND WARD ST, C SIDE",Fairview Ave N and Ward St,Seattle,WA,98109,47.62758,-122.3324,"1,220",0,2007,"Fairview Ave N and Ward St, Seattle, WA ,98109.0",King County,6,Modern Streetcar
8,Tri-County Metropolitan Transportation District of Oregon,Light Rail,10141,At-Grade Fixed Guideway Station,Beaverton Central MAX Station,Beaverton Central MAX Station,Beaverton,OR,97005,45.490411,-122.807078,"5,060",0,1998,"Beaverton Central MAX Station, Beaverton, OR ,97005.0",Washington County,3,20th Century Rail
