Facility ID,Latitude,Longitude,Building Count,Total Building Footprint,Building as % of Area,Footprint per building,Highway,Trunk Road,Primary Road,Secondary Road,Tertiary Road,Residential Road,Railway,Parking Lot,Residential Area,Commercial Area,Retail Area,Industrial Area,Railway Area,Cemetery,Woodland,Park,Recreation,Education,Health Care,Water,Beach
4688,39.9298036,-75.1685159,3326,"429,521",0.84,129,0,0,650.71,0,29526.77,106784.98,0,12239.9,0,24899.65,2874,0,0,0,0,1506.54,5535.25,0,0,0,0
4689,39.9243588,-75.1697091,2799,"406,999",0.8,145,0,0,679.89,0,30479.32,40421.17,0,22369.44,1240006.64,24899.65,17190.03,0,0,0,0,13480.7,1798.98,38270.37,33349.32,0,0
4647,39.9964906,-75.1133927,2707,"390,279",0.77,144,0,0,0,270.75,165.85,15985.61,0,14256.75,0,0,14018.88,0,0,0,0,43401.15,263.08,56219.21,0,0,0
2176,40.6842899,-73.831931,2662,"327,895",0.64,123,0,0,0,0,4183.33,35036.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4690,39.9168147,-75.1711282,2590,"308,494",0.61,119,0,0,1425.4,5051.38,397.3,45780.65,0,3188.35,1240006.64,0,0,0,0,0,0,128667.51,138743.55,5747.73,0,0,0
2177,40.6859188,-73.8257938,2402,"321,545",0.63,134,0,0,0,0,1353928.13,28476.44,0,1048.74,0,0,0,0,0,0,0,0,0,0,0,0,0
2067,40.6926488,-73.859928,2100,"332,409",0.65,158,0,0,0,55817.68,0,80297.27,0,836.67,0,0,0,0,0,0,0,0,0,6834.59,0,0,0
2061,40.5974862,-73.978917,2042,"310,506",0.61,152,0,0,0,18.51,0,70281.21,0,1153.25,0,0,0,0,0,0,0,991.68,1685.06,31499.09,453.01,0,0
2232,40.6202587,-73.9417836,2028,"297,019",0.58,146,0,0,7152.5,2326.44,67777.3,100231.59,0,4575.2,220788.57,0,0,0,0,0,0,8327.96,0,0,5660.64,0,0
2058,40.6166447,-73.9841737,1983,"326,705",0.64,165,0,0,444.36,201.92,2703.96,31857.8,0,3122.41,0,0,0,0,0,0,0,0,8073.01,9007.17,0,0,0
2060,40.6040909,-73.9802252,1982,"339,257",0.67,171,0,0,0,0,7005.5,65228.11,0,714.3,0,0,0,0,0,0,0,84.16,0,0,0,0,0
2048,40.6133361,-74.0008633,1963,"342,464",0.67,174,0,0,0,395.2,16172.36,181285.03,0,11499.07,870692.99,0,0,0,0,0,0,284.18,23843.32,39458.91,0,0,0
4686,39.9440327,-75.1656434,1923,"416,511",0.82,217,0,0,292.85,905.7,116968.5,7170.77,0,69026.87,50023.26,0,0,0,0,0,0,0,2441.78,30000.84,0,11.21,0
4869,39.9462912,-75.23803,1908,"314,136",0.62,165,0,0,4361.08,0,36597.66,148396.84,294346.23,6718.87,0,0,31089.43,0,0,0,0,27227.74,3526.22,59710.77,0,0,0
2339,40.6450367,-73.9487141,1868,"324,194",0.64,174,0,0,0,103.87,0,7387.72,0,3987.38,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,40.7733656,-73.906788,1859,"314,650",0.62,169,0,0,0,0,744.55,50990.03,755008.94,12966.22,0,0,0,0,0,0,0,8135.62,2714.88,16073.29,0,0,0
2065,40.6951456,-73.8443046,1845,"312,720",0.61,169,0,0,0,213259.49,0,284017.9,0,4541.06,0,0,0,0,34751.75,0,0,0,0,5280.04,0,0,0
2092,40.7060497,-73.8964477,1842,"383,662",0.75,208,0,0,0,274.37,8.35,262999.24,0,2410.9,0,0,0,44901.84,33379.32,0,0,52900.25,9963.97,0,0,0,0
2059,40.61188,-73.9818711,1836,"346,187",0.68,189,0,0,1109.6,145.51,2576.9,60534.08,0,0,17030.15,0,0,0,0,0,0,459.87,0,0,0,0,0
4687,39.936189,-75.1671304,1806,"385,250",0.76,213,0,0,342.6,0,1356.12,218972.07,0,51394.63,0,0,36198.01,0,0,3549.38,0,31314.61,11581.92,41028.38,0,0,0
2432,40.7547322,-73.8651395,1793,"325,778",0.64,182,0,0,23.84,201.27,50168.48,60062.43,0,1289.69,0,0,0,0,0,0,0,0,0,10697.44,0,0,0
4648,39.9914837,-75.1226218,1793,"286,838",0.56,160,0,0,0,93680.16,208.61,28562.05,94344.03,7428.13,0,0,0,0,0,0,0,52163.12,7687.7,0,0,0,0
4651,39.978623,-75.133446,1784,"318,116",0.63,178,0,0,0,6740.48,65728.48,314582.88,0,24342.22,8380.11,0,0,0,0,0,0,50655.56,27744.95,94812.36,0,0,0
2229,40.6096878,-73.9857633,1763,"339,471",0.67,193,0,0,1119.85,133.8,2576.9,24244.22,0,0,17030.15,0,0,0,0,0,0,34478.25,8685.85,12279.02,0,0,0
